NO,PTN,KODE PRODI,NAMA PRODI,RATAAN,S.BAKU,MIN,MAX
339,"UPN ""VETERAN"" YOGYAKARTA",3631136,SISTEM INFORMASI,615.9,16.78,599.52,661.28
340,UNIVERSITAS PENDIDIKAN INDONESIA,3341197,TEKNIK SIPIL,615.63,12.84,599.23,664.95
341,INSTITUT PERTANIAN BOGOR,3411025,AGRONOMI DAN HORTIKULTURA,621.06,18.85,599.14,699.06
342,UNIVERSITAS GADJAH MADA,3611275,PENYULUHAN DAN KOMUNIKASI PERTANIAN,619.57,14.08,599,639.34
343,UNIVERSITAS PATTIMURA,8111246,PENDIDIKAN DOKTER,610.81,9.8,599,632.44
344,UNIVERSITAS JEMBER,3711172,TEKNIK SIPIL,617.52,17.14,598.92,690.67
345,UNIVERSITAS BRAWIJAYA,3721383,INSTRUMENTASI,613.33,11.18,598.77,635.14
346,UNIVERSITAS JENDERAL SOEDIRMAN,3511081,TEKNIK ELEKTRO,614.8,15.81,598.69,679.06
347,UNIVERSITAS PADJADJARAN,3331237,KEDOKTERAN HEWAN,626.5,21.96,598.65,673.43
348,UNIVERSITAS PADJADJARAN,3331075,AGROTEKNOLOGI,615.21,13.68,598.6,660.48
349,UNIVERSITAS BRAWIJAYA,3721433,TEKNOLOGI BIOPROSES,610.21,10.42,598.45,640.54
350,UNIVERSITAS SRIWIJAYA,1711013,TEKNIK SIPIL,617.74,17.02,598.44,676.12
351,UNIVERSITAS TADULAKO,7311183,PEND. DOKTER,611.69,12.96,598.37,654.01
352,UNIVERSITAS NEGERI SEMARANG,3561092,MATEMATIKA,619.17,18.8,598.3,678.4
353,UNIVERSITAS NEGERI MALANG,3731114,MATEMATIKA,614.89,16.33,597.86,687.16
354,"UPN ""VETERAN"" JAKARTA",3241053,SISTEM INFORMASI,616.78,15.98,597.63,659.54
355,UNIVERSITAS NEGERI YOGYAKARTA,3621111,FISIKA,612.89,16.94,597.55,662.37
356,UNIVERSITAS NEGERI YOGYAKARTA,3621463,TEKNIK SIPIL,611.34,11.77,597.53,640.58
357,UNIVERSITAS DIPONEGORO,3551155,OCEANOGRAFI,616.78,17.16,597.53,679.93
358,INSTITUT PERTANIAN BOGOR,3411451,FISIKA,619.09,16.32,597.46,658.89
359,UNIVERSITAS AIRLANGGA,3811045,KEDOKTERAN HEWAN,621.23,17.57,597.27,681.47
360,UNIVERSITAS BRAWIJAYA,3721201,TEKNOLOGI INDUSTRI PERTANIAN,616.68,15.14,597.02,665.22
361,UNIVERSITAS NEGERI MALANG,3731161,TEKNIK SIPIL,612.14,13.37,596.99,655.21
